🇨🇳 卫视,#genre#
福建卫视,http://221.205.180.88:8003/rtp/226.0.2.188:9416
河南卫视,http://221.205.180.88:8003/rtp/226.0.2.52:8328
江西卫视,http://221.205.180.88:8003/rtp/226.0.2.54:8344
广西卫视,http://221.205.180.88:8003/rtp/226.0.2.231:9760
内蒙古卫视,http://221.205.180.88:8003/rtp/226.0.2.63:8416
海南卫视,http://221.205.180.88:8003/rtp/226.0.2.212:9608
云南卫视,http://221.205.180.88:8003/rtp/226.0.2.60:8392
贵州卫视,http://221.205.180.88:8003/rtp/226.0.2.180:9352
青海卫视,http://221.205.180.88:8003/rtp/226.0.2.59:8384
宁夏卫视,http://221.205.180.88:8003/rtp/226.0.2.64:8424
甘肃卫视,http://221.205.180.88:8003/rtp/226.0.2.55:8352
黑龙江卫视,http://221.205.180.88:8003/rtp/226.0.2.151:9120
吉林卫视,http://221.205.180.88:8003/rtp/226.0.2.58:8376
辽宁卫视,http://221.205.180.88:8003/rtp/226.0.2.173:9296
西藏卫视,http://221.205.180.88:8003/rtp/226.0.2.66:8440
新疆卫视,http://221.205.180.88:8003/rtp/226.0.2.67:8448
兵团卫视,http://221.205.180.88:8003/rtp/226.0.2.62:8408
